topic_words3,Eestimaa Rahvaliidu fraktsioon,Keskerakond,difference
elektri elektrit taastuvenergia,0.0061349693251533,0.0222042793702058,-261.92975373435894
kaibemaksu kaibemaks kaibemaksumaara,0.0122699386503067,0.0286637060960839,-133.60920468308467
valismaale valjarande valjaranne,0.00920245398773,0.0222042793702058,-141.28650248957132
tulubaasi tasandusfondi tulumaksuosa,0.0122699386503067,0.0258377069035123,-110.57731126362609
tulumaksuvaba maksususteemi tulumaksu,0.00920245398773,0.0197819943480016,-114.96433858161883
lasteaia lasteaias lasteaiakoha,0.0030674846625766,0.0100928542591844,-229.02704884942077
eelarves riigieelarves reservist,0.0122699386503067,0.0218005651998385,-77.67460637868449
muugimaksu muugimaks paadimaksu,0.0061349693251533,0.0113039967702866,-84.25514735567383
pensionitous pensionitousu pension,0.0030674846625766,0.0068631408962454,-123.7383932176064
inflatsiooni inflatsioon hinnatous,0.0030674846625766,0.0056519983851433,-84.25514735567681
volakirjade keskpank volakirju,0.0030674846625766,0.0052482842147759,-71.0940654016992
kohtla jarve johvi,0.0030674846625766,0.0048445700444085,-57.932983447721575
efsf esm kreekale,0.0030674846625766,0.0048445700444085,-57.932983447721575
koolis kooli opilased,0.0122699386503067,0.0153411384739604,-25.030278562777745
slovakkia ungari portugal,0.0030674846625766,0.0044408558740411,-44.77190149374398
domeenide domeeni interneti,0.0030674846625766,0.0040371417036737,-31.610819539766368
piima toorpiima toodangut,0.0030674846625766,0.0040371417036737,-31.610819539766368
eriarstide eriarstiabi eriarsti,0.0214723926380368,0.0238191360516754,-10.92911932637406
kinnisasja maad maa,0.0061349693251533,0.0072668550666128,-18.449737585790082
karistuse karistus tingimisi,0.0030674846625766,0.0036334275333064,-18.449737585792008
pealinnast tallinnast viljandisse,0.0030674846625766,0.0036334275333064,-18.449737585792008
iive sundimus iibe,0.0030674846625766,0.0036334275333064,-18.449737585792008
ajakirjandus ajakirjanduse ajakirjandust,0.0061349693251533,0.006459426725878,-5.288655631812677
salvestisi salvestised salvestiste,0.0030674846625766,0.003229713362939,-5.288655631814389
katteallikas katteallikaid katteallikat,0.0030674846625766,0.003229713362939,-5.288655631814389
psuhhiaatri alaealine psuhhiaatrilist,0.0030674846625766,0.003229713362939,-5.288655631814389
riigiloivude riigiloivud riigiloivu,0.0061349693251533,0.0060557125555106,1.2918853451760262
moisteid moiste moisted,0.0030674846625766,0.0028259991925716,7.872426322163218
uhistranspordi uhistransport uhistransporti,0.0030674846625766,0.0028259991925716,7.872426322163218
liiklussurmade liikluses hukkunute,0.0030674846625766,0.0028259991925716,7.872426322163218
huvigruppe huvigruppide kaasatud,0.0061349693251533,0.0056519983851433,7.87242632216309
