topic_words3,Eesti Vabaerakonna fraktsioon,Sotsiaaldemokraadid,difference
kinnisasja maad maa,0.0115606936416184,0.0343511450381679,-197.13740458015482
vanemahuvitist vanemahuvitise vanemahuvitis,0.0028901734104046,0.0190839694656488,-560.3053435114541
palgalohe soolist meeste,0.0072254335260115,0.0229007633587786,-216.9465648854985
prokuratuur prokuratuuri prokuror,0.0014450867052023,0.015267175572519,-956.4885496183238
untso missioonide liikmesusest,0.0014450867052023,0.015267175572519,-956.4885496183238
miili baasvorgu lairiba,0.0014450867052023,0.015267175572519,-956.4885496183238
karistuse karistus tingimisi,0.0101156069364161,0.0267175572519083,-164.1221374045814
lapsetoetust lapsetoetus lapsetoetuse,0.0028901734104046,0.015267175572519,-428.2442748091619
leping ratifitseerida lepinguga,0.0057803468208092,0.0190839694656488,-230.152671755727
tooandja tervisesse maksuvabalt,0.0014450867052023,0.0114503816793893,-692.3664122137463
kulukuse krediidi kiirlaenude,0.0014450867052023,0.0114503816793893,-692.3664122137463
vagivalla naistevastase perevagivalla,0.0043352601156069,0.015267175572519,-252.1628498727745
tulubaasi tasandusfondi tulumaksuosa,0.0043352601156069,0.015267175572519,-252.1628498727745
opositsioonis koalitsiooni opositsiooni,0.0072254335260115,0.0190839694656488,-164.12213740458162
terviseandmed isikuandmeid terviseandmeid,0.0028901734104046,0.0114503816793893,-296.1832061068731
alkoholi kange lahja,0.0057803468208092,0.015267175572519,-164.12213740458094
riigireformi riigireformist riigireform,0.0173410404624277,0.0305343511450381,-76.08142493638685
korterelamute kortermajade kredexi,0.0014450867052023,0.0076335877862595,-428.2442748091619
treenerite spordi sport,0.0014450867052023,0.0076335877862595,-428.2442748091619
tapsustatakse ajakohastatakse nouete,0.0014450867052023,0.0076335877862595,-428.2442748091619
vagivallale vihakone ohutamine,0.0014450867052023,0.0076335877862595,-428.2442748091619
eripensioni valjateenitud staazi,0.0043352601156069,0.0114503816793893,-164.12213740458205
psuhhiaatri alaealine psuhhiaatrilist,0.0028901734104046,0.0076335877862595,-164.12213740458094
direktiivi direktiiv ulevotmise,0.0057803468208092,0.0114503816793893,-98.09160305343659
piima toorpiima toodangut,0.0014450867052023,0.0038167938931297,-164.12213740457747
valismaale valjarande valjaranne,0.0014450867052023,0.0038167938931297,-164.12213740457747
valijate erakonda valijaid,0.0014450867052023,0.0038167938931297,-164.12213740457747
soita jalakaija konniteel,0.0014450867052023,0.0038167938931297,-164.12213740457747
