topic_words3,Eesti Vabaerakonna fraktsioon,Reformierakond,difference
tulumaksuvaba maksususteemi tulumaksu,0.0144508670520231,0.059625212947189,-312.60647359454845
arengufond arengufondi arengufondis,0.0115606936416184,0.0357751277683134,-209.45485519591352
soita jalakaija konniteel,0.0014450867052023,0.0170357751277683,-1078.8756388415763
tapsustatakse ajakohastatakse nouete,0.0014450867052023,0.0153321976149914,-960.9880749574138
ulejaagis struktuurses struktuurse,0.0086705202312138,0.0238500851788756,-175.07098239636753
untso missioonide liikmesusest,0.0014450867052023,0.0136286201022146,-843.1005110732583
efsf esm kreekale,0.0014450867052023,0.0119250425894378,-725.2129471891028
tooandja tervisesse maksuvabalt,0.0014450867052023,0.0119250425894378,-725.2129471891028
tooandja tooandjal tootaja,0.0014450867052023,0.0102214650766609,-607.3253833049403
vagivalla naistevastase perevagivalla,0.0043352601156069,0.0136286201022146,-214.3668370244194
missiooni missioonile missioon,0.0014450867052023,0.0085178875638841,-489.4378194207846
riigiloivude riigiloivud riigiloivu,0.0014450867052023,0.0085178875638841,-489.4378194207846
korteriuhistu korteriomanike korteriuhistute,0.0014450867052023,0.0068143100511073,-371.55025553662915
toonadalal istungid taiendaval,0.0072254335260115,0.0153321976149914,-112.19761499148278
maksuamet tolliamet tolliameti,0.0086705202312138,0.0170357751277683,-96.47927314026268
pollumeestele pollumehi pollumehed,0.0028901734104046,0.0085178875638841,-194.7189097103923
ametiuhingute tooandjate keskliit,0.0028901734104046,0.0085178875638841,-194.7189097103923
valispoliitika valispoliitikas diplomaatia,0.0028901734104046,0.0085178875638841,-194.7189097103923
psuhhiaatri alaealine psuhhiaatrilist,0.0028901734104046,0.0085178875638841,-194.7189097103923
alkoholi kange lahja,0.0057803468208092,0.0119250425894378,-106.30323679727567
salvestisi salvestised salvestiste,0.0390173410404624,0.0511073253833049,-30.986182093507452
kodualuse maamaksu maamaksust,0.0014450867052023,0.0051107325383304,-253.66269165246663
kohtla jarve johvi,0.0014450867052023,0.0051107325383304,-253.66269165246663
opositsiooni koalitsioonil opositsioonil,0.0014450867052023,0.0051107325383304,-253.66269165246663
korterelamute kortermajade kredexi,0.0014450867052023,0.0051107325383304,-253.66269165246663
majandusaasta koondaruanne raamatupidamise,0.0014450867052023,0.0051107325383304,-253.66269165246663
kaibemaksu kaibemaks kaibemaksumaara,0.0014450867052023,0.0051107325383304,-253.66269165246663
volakirjade keskpank volakirju,0.0028901734104046,0.0068143100511073,-135.7751277683146
vaikesaarte saarte pusiasustusega,0.0028901734104046,0.0068143100511073,-135.7751277683146
lasteaia lasteaias lasteaiakoha,0.0028901734104046,0.0068143100511073,-135.7751277683146
oigusloome oigusloomes oiguspoliitika,0.0028901734104046,0.0068143100511073,-135.7751277683146
maavalitsuste maavalitsused maakonna,0.0028901734104046,0.0068143100511073,-135.7751277683146
id mobiil kaardi,0.0043352601156069,0.0085178875638841,-96.47927314026153
katteallikas katteallikaid katteallikat,0.0057803468208092,0.0102214650766609,-76.83134582623508
operatsioonil sojalisel panustamisel,0.0014450867052023,0.0034071550255536,-135.7751277683111
treenerite spordi sport,0.0014450867052023,0.0034071550255536,-135.7751277683111
hadaolukorda eriolukord eriolukorra,0.0014450867052023,0.0034071550255536,-135.7751277683111
vagivallale vihakone ohutamine,0.0014450867052023,0.0034071550255536,-135.7751277683111
salastatud valisteabe riigisaladuse,0.0014450867052023,0.0034071550255536,-135.7751277683111
