topic_words3,Eesti Vabaerakonna fraktsioon,Fraktsioonitud,difference
pollumeestele pollumehi pollumehed,0.0028901734104046,0.0196078431372549,-578.4313725490254
vanemahuvitist vanemahuvitise vanemahuvitis,0.0028901734104046,0.0196078431372549,-578.4313725490254
eriarstide eriarstiabi eriarsti,0.0101156069364161,0.0294117647058823,-190.75630252101033
korteriuhistu korteriomanike korteriuhistute,0.0014450867052023,0.0168067226890756,-1063.0252100840412
direktiivi direktiiv ulevotmise,0.0057803468208092,0.0210084033613445,-263.44537815126296
lipu laevu kaubalaeva,0.0086705202312138,0.0210084033613445,-142.29691876750857
estonian air airi,0.0043352601156069,0.0140056022408963,-223.0625583566773
lapsetoetust lapsetoetus lapsetoetuse,0.0028901734104046,0.011204481792717,-287.6750700280115
untso missioonide liikmesusest,0.0014450867052023,0.0084033613445378,-481.5126050420206
miili baasvorgu lairiba,0.0014450867052023,0.0084033613445378,-481.5126050420206
missiooni missioonile missioon,0.0014450867052023,0.0084033613445378,-481.5126050420206
vabatahtlike komandode paasteameti,0.0072254335260115,0.0168067226890756,-132.60504201680826
borsile ipo enefit,0.0014450867052023,0.0070028011204481,-384.5938375350126
valismaale valjarande valjaranne,0.0014450867052023,0.0070028011204481,-384.5938375350126
opositsioonis koalitsiooni opositsiooni,0.0072254335260115,0.0154061624649859,-113.22128851540666
moisteid moiste moisted,0.0072254335260115,0.0154061624649859,-113.22128851540666
slovakkia ungari portugal,0.0028901734104046,0.0084033613445378,-190.7563025210103
palgalohe soolist meeste,0.0072254335260115,0.0140056022408963,-93.83753501400642
tapsustatakse ajakohastatakse nouete,0.0014450867052023,0.0056022408963585,-287.6750700280115
valimisea valimisiga valimisoiguse,0.0043352601156069,0.0098039215686274,-126.1437908496739
psuhhiaatri alaealine psuhhiaatrilist,0.0028901734104046,0.0070028011204481,-142.29691876750633
ts parvlaeva parvlaevad,0.0028901734104046,0.0070028011204481,-142.29691876750633
valispoliitika valispoliitikas diplomaatia,0.0028901734104046,0.0070028011204481,-142.29691876750633
elektri elektrit taastuvenergia,0.0072254335260115,0.0126050420168067,-74.4537815126062
rail trassi balticu,0.0072254335260115,0.0126050420168067,-74.4537815126062
treenerite spordi sport,0.0014450867052023,0.0042016806722689,-190.7563025210103
soita jalakaija konniteel,0.0014450867052023,0.0042016806722689,-190.7563025210103
puude raskusastme puuet,0.0014450867052023,0.0042016806722689,-190.7563025210103
piima toorpiima toodangut,0.0014450867052023,0.0042016806722689,-190.7563025210103
prokuratuur prokuratuuri prokuror,0.0014450867052023,0.0042016806722689,-190.7563025210103
vagivallale vihakone ohutamine,0.0014450867052023,0.0042016806722689,-190.7563025210103
riigiloivude riigiloivud riigiloivu,0.0014450867052023,0.0042016806722689,-190.7563025210103
tootuid tootute tootu,0.0028901734104046,0.0056022408963585,-93.83753501400575
loomi loomade loomad,0.0028901734104046,0.0056022408963585,-93.83753501400575
volakirjade keskpank volakirju,0.0028901734104046,0.0056022408963585,-93.83753501400575
liitlaste ohutorje keskmaa,0.0086705202312138,0.0126050420168067,-45.37815126050515
kohtla jarve johvi,0.0014450867052023,0.0028011204481792,-93.8375350140023
koolilouna koolitoidu koolitoit,0.0014450867052023,0.0028011204481792,-93.8375350140023
kaibemaksu kaibemaks kaibemaksumaara,0.0014450867052023,0.0028011204481792,-93.8375350140023
samba sammas sambasse,0.0014450867052023,0.0028011204481792,-93.8375350140023
valijate erakonda valijaid,0.0014450867052023,0.0028011204481792,-93.8375350140023
oiglase virumaale ulemineku,0.0014450867052023,0.0028011204481792,-93.8375350140023
kodualuse maamaksu maamaksust,0.0014450867052023,0.0028011204481792,-93.8375350140023
hoone rkas hoonet,0.0072254335260115,0.0098039215686274,-35.68627450980436
lasteaia lasteaias lasteaiakoha,0.0028901734104046,0.0042016806722689,-45.378151260505156
ametiuhingute tooandjate keskliit,0.0028901734104046,0.0042016806722689,-45.378151260505156
vaikesaarte saarte pusiasustusega,0.0028901734104046,0.0042016806722689,-45.378151260505156
tulubaasi omavalitsustele omavalitsuste,0.0028901734104046,0.0042016806722689,-45.378151260505156
riigikontrolor karis riigikontrolori,0.0028901734104046,0.0042016806722689,-45.378151260505156
hiv narkomaania epideemia,0.0043352601156069,0.0056022408963585,-29.225023342670475
id mobiil kaardi,0.0043352601156069,0.0056022408963585,-29.225023342670475
hanke hankija riigihangete,0.0043352601156069,0.0056022408963585,-29.225023342670475
piirivalve valvamise valvamine,0.0057803468208092,0.0070028011204481,-21.14845938375315
leping ratifitseerida lepinguga,0.0057803468208092,0.0070028011204481,-21.14845938375315
pohiseadusega riigikohus oiguskantsler,0.0072254335260115,0.0084033613445378,-16.30252100840412
riigikontrolli auditi auditit,0.0086705202312138,0.0098039215686274,-13.071895424836958
karistuse karistus tingimisi,0.0101156069364161,0.011204481792717,-10.764305722288988
keeleoskust oskuse keeleoskuse,0.0101156069364161,0.011204481792717,-10.764305722288988
efsf esm kreekale,0.0014450867052023,0.0014005602240896,3.0812324929988546
tarbijakaitse amet ametile,0.0014450867052023,0.0014005602240896,3.0812324929988546
tooandja tooandjal tootaja,0.0014450867052023,0.0014005602240896,3.0812324929988546
erimargistatud kutust kutuse,0.0014450867052023,0.0014005602240896,3.0812324929988546
