topic_words3,EKRE,Sotsiaaldemokraadid,difference
kinnisasja maad maa,0.0029239766081871,0.0343511450381679,-1074.809160305356
elatisraha elatisabi elatise,0.0029239766081871,0.0343511450381679,-1074.809160305356
riigireformi riigireformist riigireform,0.0019493177387914,0.0305343511450381,-1466.4122137404731
vanemahuvitist vanemahuvitise vanemahuvitis,0.0029239766081871,0.0190839694656488,-552.6717557251967
joustumine joustuma joustada,0.0009746588693957,0.0190839694656488,-1858.01526717559
untso missioonide liikmesusest,0.0009746588693957,0.015267175572519,-1466.4122137404681
normitehnika mojude eeskiri,0.0029239766081871,0.015267175572519,-422.137404580156
lapsetoetust lapsetoetus lapsetoetuse,0.0029239766081871,0.015267175572519,-422.137404580156
karistuse karistus tingimisi,0.0107212475633528,0.0267175572519083,-149.20194309507255
arengukavad arengukavade pohialuste,0.0038986354775828,0.015267175572519,-291.60305343511703
tulubaasi tasandusfondi tulumaksuosa,0.0038986354775828,0.015267175572519,-291.60305343511703
eripensioni valjateenitud staazi,0.0009746588693957,0.0114503816793893,-1074.8091603053563
arengufond arengufondi arengufondis,0.0009746588693957,0.0114503816793893,-1074.8091603053563
korruptsiooni korruptsioon korruptsiooniga,0.0009746588693957,0.0114503816793893,-1074.8091603053563
kodakondsust kodakondsuse kodanikuks,0.0019493177387914,0.0114503816793893,-487.4045801526781
hambaravi hammaste hambad,0.0019493177387914,0.0114503816793893,-487.4045801526781
miili baasvorgu lairiba,0.0048732943469785,0.015267175572519,-213.2824427480936
palgalohe soolist meeste,0.0107212475633528,0.0229007633587786,-113.60166551006276
tapsustatakse ajakohastatakse nouete,0.0009746588693957,0.0076335877862595,-683.206106870234
treenerite spordi sport,0.0009746588693957,0.0076335877862595,-683.206106870234
teede teehoiuks teedele,0.0009746588693957,0.0076335877862595,-683.206106870234
tooandja tervisesse maksuvabalt,0.0038986354775828,0.0114503816793893,-193.70229007633907
korterelamute kortermajade kredexi,0.0019493177387914,0.0076335877862595,-291.60305343511703
psuhhiaatri alaealine psuhhiaatrilist,0.0019493177387914,0.0076335877862595,-291.60305343511703
vabatahtlike komandode paasteameti,0.0048732943469785,0.0114503816793893,-134.96183206107122
koolis kooli opilased,0.0077972709551656,0.015267175572519,-95.80152671755849
aasia aasias saatkonna,0.0029239766081871,0.0076335877862595,-161.06870229007797
korterid kortereid korterit,0.0029239766081871,0.0076335877862595,-161.06870229007797
leping ratifitseerida lepinguga,0.0116959064327485,0.0190839694656488,-63.16793893129778
terviseandmed isikuandmeid terviseandmeid,0.0058479532163742,0.0114503816793893,-95.80152671755936
jalitustegevuse jalitustoimingu sideandmete,0.0009746588693957,0.0038167938931297,-291.60305343511186
kodualuse maamaksu maamaksust,0.0009746588693957,0.0038167938931297,-291.60305343511186
riigiabi komisjonilt loa,0.0009746588693957,0.0038167938931297,-291.60305343511186
kolledz kolledzi turi,0.0009746588693957,0.0038167938931297,-291.60305343511186
opositsiooni koalitsioonil opositsioonil,0.0009746588693957,0.0038167938931297,-291.60305343511186
ooteala piiriuletuse piiripunkti,0.0009746588693957,0.0038167938931297,-291.60305343511186
kutsehariduse kutseharidus kutsehariduses,0.0009746588693957,0.0038167938931297,-291.60305343511186
riigipalgaliste riigisektoris koondada,0.0009746588693957,0.0038167938931297,-291.60305343511186
pensioniiga pensioniea eluiga,0.0009746588693957,0.0038167938931297,-291.60305343511186
teadus teaduse arendustegevuse,0.0009746588693957,0.0038167938931297,-291.60305343511186
muuseum muuseumi muuseumide,0.0009746588693957,0.0038167938931297,-291.60305343511186
vaesuses suhtelises vaesuse,0.0038986354775828,0.0076335877862595,-95.80152671755849
direktiivi direktiiv ulevotmise,0.0068226120857699,0.0114503816793893,-67.8298800436223
toonadalal istungid taiendaval,0.0048732943469785,0.0076335877862595,-56.64122137404679
moisteid moiste moisted,0.0048732943469785,0.0076335877862595,-56.64122137404679
palgatousu opetajate palgatous,0.0048732943469785,0.0076335877862595,-56.64122137404679
reklaami reklaam alkoholireklaam,0.0019493177387914,0.0038167938931297,-95.80152671755594
uhistranspordi uhistransport uhistransporti,0.0019493177387914,0.0038167938931297,-95.80152671755594
tooandja tooandjal tootaja,0.0019493177387914,0.0038167938931297,-95.80152671755594
apteeke apteegid apteekide,0.0019493177387914,0.0038167938931297,-95.80152671755594
uliopilased uliopilastele uliopilaste,0.0019493177387914,0.0038167938931297,-95.80152671755594
opositsioonis koalitsiooni opositsiooni,0.0155945419103313,0.0190839694656488,-22.37595419847359
prokuratuur prokuratuuri prokuror,0.0126705653021442,0.015267175572519,-20.49324721080427
pensionifondide pensionifondid fondid,0.0058479532163742,0.0076335877862595,-30.53435114503899
