topic_words3,EKRE,Eesti Vabaerakonna fraktsioon,difference
valimisliitude volikogusse volikokku,0.0107212475633528,0.0433526011560693,-304.3615344193383
teadus teaduse arendustegevuse,0.0009746588693957,0.0231213872832369,-2272.2543352601338
koolis kooli opilased,0.0077972709551656,0.0260115606936416,-233.59826589595744
riigireformi riigireformist riigireform,0.0019493177387914,0.0173410404624277,-789.5953757225515
arengukavad arengukavade pohialuste,0.0038986354775828,0.0173410404624277,-344.79768786127573
riigipalgaliste riigisektoris koondada,0.0009746588693957,0.0158959537572254,-1530.9248554913456
kutsehariduse kutseharidus kutsehariduses,0.0009746588693957,0.0144508670520231,-1382.6589595375876
joustumine joustuma joustada,0.0009746588693957,0.0144508670520231,-1382.6589595375876
muuseum muuseumi muuseumide,0.0009746588693957,0.0130057803468208,-1234.3930635838299
arengufond arengufondi arengufondis,0.0009746588693957,0.0115606936416184,-1086.1271676300619
salvestisi salvestised salvestiste,0.0214424951267056,0.0390173410404624,-81.96269048870238
palgatousu opetajate palgatous,0.0048732943469785,0.0158959537572254,-226.18497109826907
normitehnika mojude eeskiri,0.0029239766081871,0.0115606936416184,-295.37572254335396
kinnisasja maad maa,0.0029239766081871,0.0115606936416184,-295.37572254335396
pealinnast tallinnast viljandisse,0.0009746588693957,0.0072254335260115,-641.3294797687886
hoone rkas hoonet,0.0019493177387914,0.0072254335260115,-270.6647398843943
kohtunike kohtususteem kohtuniku,0.0048732943469785,0.0115606936416184,-137.22543352601235
huvigruppe huvigruppide kaasatud,0.0068226120857699,0.0130057803468208,-90.62758051197567
eripensioni valjateenitud staazi,0.0009746588693957,0.0043352601156069,-344.79768786127323
pensioniiga pensioniea eluiga,0.0009746588693957,0.0043352601156069,-344.79768786127323
id mobiil kaardi,0.0009746588693957,0.0043352601156069,-344.79768786127323
kandidaati kandidaat valituks,0.0009746588693957,0.0043352601156069,-344.79768786127323
omandireformi tagastatud omandireform,0.0019493177387914,0.0057803468208092,-196.53179190751547
katteallikas katteallikaid katteallikat,0.0019493177387914,0.0057803468208092,-196.53179190751547
uliopilased uliopilastele uliopilaste,0.0019493177387914,0.0057803468208092,-196.53179190751547
noukogudesse ariuhingute noukogudes,0.0029239766081871,0.0072254335260115,-147.10982658959622
pohiseadusega riigikohus oiguskantsler,0.0029239766081871,0.0072254335260115,-147.10982658959622
aasia aasias saatkonna,0.0029239766081871,0.0072254335260115,-147.10982658959622
otsevalimise presidenti presidendi,0.0087719298245614,0.0144508670520231,-64.73988439306342
tulumaksuvaba maksususteemi tulumaksu,0.0087719298245614,0.0144508670520231,-64.73988439306342
keeleoskust oskuse keeleoskuse,0.0058479532163742,0.0101156069364161,-72.97687861271734
nord stream streami,0.0058479532163742,0.0101156069364161,-72.97687861271734
kandidaadi kandidaati kandidaat,0.0038986354775828,0.0072254335260115,-85.33236994219716
kantsler kantsleri riigisekretar,0.0029239766081871,0.0057803468208092,-97.68786127167695
raamatukogu pimedate raamatukogude,0.0009746588693957,0.0028901734104046,-196.53179190751547
kinnitamise paevakorra paevakord,0.0009746588693957,0.0028901734104046,-196.53179190751547
riigiabi komisjonilt loa,0.0009746588693957,0.0028901734104046,-196.53179190751547
oigusloome oigusloomes oiguspoliitika,0.0009746588693957,0.0028901734104046,-196.53179190751547
energiaagentuur agentuuri agentuur,0.0009746588693957,0.0028901734104046,-196.53179190751547
annetus erjk annetuse,0.0009746588693957,0.0028901734104046,-196.53179190751547
vaikesaarte saarte pusiasustusega,0.0009746588693957,0.0028901734104046,-196.53179190751547
hansson ardo panga,0.0009746588693957,0.0028901734104046,-196.53179190751547
maksuamet tolliamet tolliameti,0.0058479532163742,0.0086705202312138,-48.26589595375774
krimmi agressiooni ukraina,0.0185185185185185,0.0231213872832369,-24.85549132947938
kaasne lisakulutusi riigieelarvele,0.0048732943469785,0.0072254335260115,-48.26589595375773
vabatahtlike komandode paasteameti,0.0048732943469785,0.0072254335260115,-48.26589595375773
toonadalal istungid taiendaval,0.0048732943469785,0.0072254335260115,-48.26589595375773
moisteid moiste moisted,0.0048732943469785,0.0072254335260115,-48.26589595375773
hanke hankija riigihangete,0.0029239766081871,0.0043352601156069,-48.26589595375774
eelarvele kulude riigieelarvele,0.0029239766081871,0.0043352601156069,-48.26589595375774
etv saateid pbk,0.0029239766081871,0.0043352601156069,-48.26589595375774
uuring uuringut uuringu,0.0019493177387914,0.0028901734104046,-48.265895953757735
psuhhiaatri alaealine psuhhiaatrilist,0.0019493177387914,0.0028901734104046,-48.265895953757735
vallaga vald sauga,0.0224171539961013,0.0245664739884393,-9.58783613973389
eriarstide eriarstiabi eriarsti,0.0087719298245614,0.0101156069364161,-15.317919075143593
kodualuse maamaksu maamaksust,0.0009746588693957,0.0014450867052023,-48.265895953757735
treenerite spordi sport,0.0009746588693957,0.0014450867052023,-48.265895953757735
kaibemaksu kaibemaks kaibemaksumaara,0.0009746588693957,0.0014450867052023,-48.265895953757735
borsile ipo enefit,0.0009746588693957,0.0014450867052023,-48.265895953757735
opositsiooni koalitsioonil opositsioonil,0.0009746588693957,0.0014450867052023,-48.265895953757735
majandusaasta koondaruanne raamatupidamise,0.0009746588693957,0.0014450867052023,-48.265895953757735
tapsustatakse ajakohastatakse nouete,0.0009746588693957,0.0014450867052023,-48.265895953757735
ugri rahvaste polisrahvaste,0.0009746588693957,0.0014450867052023,-48.265895953757735
untso missioonide liikmesusest,0.0009746588693957,0.0014450867052023,-48.265895953757735
kauguhendus avaksite ettekandjalt,0.0048732943469785,0.0057803468208092,-18.61271676300618
riigikontrolli auditi auditit,0.0077972709551656,0.0086705202312138,-11.199421965318313
tulubaasi tasandusfondi tulumaksuosa,0.0038986354775828,0.0043352601156069,-11.199421965318313
lapsetoetust lapsetoetus lapsetoetuse,0.0029239766081871,0.0028901734104046,1.1560693641615214
kirik kiriku maarja,0.0029239766081871,0.0028901734104046,1.1560693641615214
lasteaia lasteaias lasteaiakoha,0.0029239766081871,0.0028901734104046,1.1560693641615214
vanemahuvitist vanemahuvitise vanemahuvitis,0.0029239766081871,0.0028901734104046,1.1560693641615214
tootuid tootute tootu,0.0029239766081871,0.0028901734104046,1.1560693641615214
