topic_words3,EKRE,Fraktsioonitud,difference
eriarstide eriarstiabi eriarsti,0.0087719298245614,0.0294117647058823,-235.29411764705839
vanemahuvitist vanemahuvitise vanemahuvitis,0.0029239766081871,0.0196078431372549,-570.5882352941255
riigireformi riigireformist riigireform,0.0019493177387914,0.0154061624649859,-690.336134453786
arengukavad arengukavade pohialuste,0.0038986354775828,0.0168067226890756,-331.0924369747942
direktiivi direktiiv ulevotmise,0.0068226120857699,0.0210084033613445,-207.92316926771014
joustumine joustuma joustada,0.0009746588693957,0.0140056022408963,-1336.9747899159775
toovoimereformi toovoimega toovoimereform,0.0019493177387914,0.0126050420168067,-546.6386554621914
vabatahtlike komandode paasteameti,0.0048732943469785,0.0168067226890756,-244.8739495798353
korterid kortereid korterit,0.0029239766081871,0.0126050420168067,-331.0924369747942
moisteid moiste moisted,0.0048732943469785,0.0154061624649859,-216.13445378151442
hoone rkas hoonet,0.0019493177387914,0.0098039215686274,-402.9411764705916
normitehnika mojude eeskiri,0.0029239766081871,0.011204481792717,-283.19327731092596
lapsetoetust lapsetoetus lapsetoetuse,0.0029239766081871,0.011204481792717,-283.19327731092596
lipu laevu kaubalaeva,0.0097465886939571,0.0210084033613445,-115.5462184873949
untso missioonide liikmesusest,0.0009746588693957,0.0084033613445378,-762.1848739495885
borsile ipo enefit,0.0009746588693957,0.0070028011204481,-618.4873949579835
riigipalgaliste riigisektoris koondada,0.0009746588693957,0.0070028011204481,-618.4873949579835
kinnisasja maad maa,0.0029239766081871,0.0098039215686274,-235.29411764706106
valimisliitude volikogusse volikokku,0.0107212475633528,0.0196078431372549,-82.88770053475982
kutsehariduse kutseharidus kutsehariduses,0.0009746588693957,0.0056022408963585,-474.7899159663889
tapsustatakse ajakohastatakse nouete,0.0009746588693957,0.0056022408963585,-474.7899159663889
tootuna arvele ariuhingu,0.0009746588693957,0.0056022408963585,-474.7899159663889
id mobiil kaardi,0.0009746588693957,0.0056022408963585,-474.7899159663889
psuhhiaatri alaealine psuhhiaatrilist,0.0019493177387914,0.0070028011204481,-259.2436974789918
pohiseadusega riigikohus oiguskantsler,0.0029239766081871,0.0084033613445378,-187.39495798319612
vaikesaarte saarte pusiasustusega,0.0009746588693957,0.0042016806722689,-331.0924369747942
arengufond arengufondi arengufondis,0.0009746588693957,0.0042016806722689,-331.0924369747942
viirust vaktsineeritud viiruse,0.0009746588693957,0.0042016806722689,-331.0924369747942
korruptsiooni korruptsioon korruptsiooniga,0.0009746588693957,0.0042016806722689,-331.0924369747942
