topic_words3,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraadid,difference
riigimetsa majandamise noukokku,0.0014814814814814,0.0442477876106194,-2886.725663716973
loomi loomade loomad,0.0044444444444444,0.0280235988200589,-530.5309734513315
riigiloivude riigiloivud riigiloivu,0.0044444444444444,0.0250737463126843,-464.15929203540236
palgalohe soolist meeste,0.0029629629629629,0.0221238938053097,-646.6814159292182
hanke hankija riigihangete,0.0014814814814814,0.0147492625368731,-895.5752212389891
teenistuse teenistuses avalikus,0.0044444444444444,0.0162241887905604,-265.0442477876126
poolte kokkuleppel huvitise,0.0074074074074074,0.0191740412979351,-158.8495575221241
maavalitsuste maavalitsused maakonna,0.0029629629629629,0.0117994100294985,-298.23008849558283
hoone rkas hoonet,0.0014814814814814,0.0088495575221238,-497.34513274338934
kandidaati kandidaat valituks,0.0014814814814814,0.0088495575221238,-497.34513274338934
metsa metsade mets,0.0014814814814814,0.0088495575221238,-497.34513274338934
toonadalal istungid taiendaval,0.0074074074074074,0.0162241887905604,-119.0265486725656
virumaale virumaa toostusalade,0.0014814814814814,0.0073746312684365,-397.78761061949115
vabatahtlike komandode paasteameti,0.0029629629629629,0.0088495575221238,-198.6725663716846
pohiseadusega riigikohus oiguskantsler,0.0029629629629629,0.0088495575221238,-198.6725663716846
tulubaasi omavalitsustele omavalitsuste,0.0029629629629629,0.0088495575221238,-198.6725663716846
tootuli lepitaja ametiuhingute,0.0014814814814814,0.0058997050147492,-298.2300884955929
lasteaia lasteaias lasteaiakoha,0.0014814814814814,0.0058997050147492,-298.2300884955929
opositsiooni koalitsioonil opositsioonil,0.0014814814814814,0.0058997050147492,-298.2300884955929
tulubaasi tasandusfondi tulumaksuosa,0.0059259259259259,0.0117994100294985,-99.11504424778809
memorandumi moistmise memorandum,0.0029629629629629,0.0073746312684365,-148.89380530973716
missiooni missioonile missioon,0.0029629629629629,0.0073746312684365,-148.89380530973716
kaasne lisakulutusi riigieelarvele,0.0044444444444444,0.0088495575221238,-99.11504424778748
leping ratifitseerida lepinguga,0.0044444444444444,0.0088495575221238,-99.11504424778748
kodualuse maamaksu maamaksust,0.0266666666666666,0.0353982300884955,-32.743362831858455
borsile ipo enefit,0.0014814814814814,0.0044247787610619,-198.67256637169467
vagivallale vihakone ohutamine,0.0014814814814814,0.0044247787610619,-198.67256637169467
slovakkia ungari portugal,0.0014814814814814,0.0044247787610619,-198.67256637169467
normitehnika mojude eeskiri,0.0029629629629629,0.0058997050147492,-99.11504424778974
palgatousu opetajate palgatous,0.0148148148148148,0.0191740412979351,-29.424778761062054
koolilouna koolitoidu koolitoit,0.0014814814814814,0.0029498525073746,-99.11504424779643
oppelaenu sugava puudega,0.0014814814814814,0.0029498525073746,-99.11504424779643
kauguhendus avaksite ettekandjalt,0.0014814814814814,0.0029498525073746,-99.11504424779643
abielu kooselu samasooliste,0.0014814814814814,0.0029498525073746,-99.11504424779643
direktiivi direktiiv ulevotmise,0.0014814814814814,0.0029498525073746,-99.11504424779643
fie fuusilisest isikust,0.0014814814814814,0.0029498525073746,-99.11504424779643
etv saateid pbk,0.0014814814814814,0.0029498525073746,-99.11504424779643
terviseandmed isikuandmeid terviseandmeid,0.0088888888888888,0.0117994100294985,-32.74336283185945
objekti anu raua,0.0029629629629629,0.0044247787610619,-49.3362831858423
iive sundimus iibe,0.0029629629629629,0.0044247787610619,-49.3362831858423
eriarstide eriarstiabi eriarsti,0.0044444444444444,0.0058997050147492,-32.74336283185832
moisteid moiste moisted,0.0059259259259259,0.0073746312684365,-24.44690265486649
apteeke apteegid apteekide,0.0074074074074074,0.0088495575221238,-19.469026548671422
uuring uuringut uuringu,0.0014814814814814,0.0014749262536873,0.4424778761017805
kandideerima ametikohale kandidaatide,0.0014814814814814,0.0014749262536873,0.4424778761017805
koolituse koolitus koolitusele,0.0014814814814814,0.0014749262536873,0.4424778761017805
lng terminali gaasi,0.0014814814814814,0.0014749262536873,0.4424778761017805
idapiiri piiririba valjaehitamine,0.0014814814814814,0.0014749262536873,0.4424778761017805
hooldekodus hoolduse hooldekodu,0.0014814814814814,0.0014749262536873,0.4424778761017805
vallaga vald sauga,0.0014814814814814,0.0014749262536873,0.4424778761017805
untso missioonide liikmesusest,0.0014814814814814,0.0014749262536873,0.4424778761017805
elamisluba elamisloa viisa,0.0014814814814814,0.0014749262536873,0.4424778761017805
korteriuhistu korteriomanike korteriuhistute,0.0014814814814814,0.0014749262536873,0.4424778761017805
soita jalakaija konniteel,0.0014814814814814,0.0014749262536873,0.4424778761017805
eripensioni valjateenitud staazi,0.0029629629629629,0.0029498525073746,0.44247787610513206
lipu laevu kaubalaeva,0.0029629629629629,0.0029498525073746,0.44247787610513206
jalitustegevuse jalitustoimingu sideandmete,0.0029629629629629,0.0029498525073746,0.44247787610513206
haale valimispaeval valimiste,0.0029629629629629,0.0029498525073746,0.44247787610513206
tooandja tooandjal tootaja,0.0029629629629629,0.0029498525073746,0.44247787610513206
korterelamute kortermajade kredexi,0.0044444444444444,0.0044247787610619,0.44247787610625894
valispoliitika valispoliitikas diplomaatia,0.0044444444444444,0.0044247787610619,0.44247787610625894
elatisraha elatisabi elatise,0.0044444444444444,0.0044247787610619,0.44247787610625894
valismaale valjarande valjaranne,0.0044444444444444,0.0044247787610619,0.44247787610625894
noukogudesse ariuhingute noukogudes,0.0044444444444444,0.0044247787610619,0.44247787610625894
prokuratuur prokuratuuri prokuror,0.0044444444444444,0.0044247787610619,0.44247787610625894
vaesuses suhtelises vaesuse,0.0074074074074074,0.0073746312684365,0.4424778761071488
arengufond arengufondi arengufondis,0.0088888888888888,0.0088495575221238,0.44247787610625894
vanemahuvitist vanemahuvitise vanemahuvitis,0.0118518518518518,0.0117994100294985,0.44247787610595884
elektri elektrit taastuvenergia,0.0118518518518518,0.0103244837758112,12.887168141592609
eelarvele kulude riigieelarvele,0.0088888888888888,0.0073746312684365,17.03539823008855
opositsioonis koalitsiooni opositsiooni,0.0074074074074074,0.0058997050147492,20.35398230088572
kinnisasja maad maa,0.0059259259259259,0.0044247787610619,25.331858407080105
keskkonnaameti uhendamine uhendamise,0.0044444444444444,0.0029498525073746,33.62831858407084
pollumeestele pollumehi pollumehed,0.0133333333333333,0.0103244837758112,22.5663716814158
otsevalimise presidenti presidendi,0.0029629629629629,0.0014749262536873,50.22123893805257
tootuna arvele ariuhingu,0.0029629629629629,0.0014749262536873,50.22123893805257
