topic_words3,Keskerakond,Sotsiaaldemokraadid,difference
annetused annetusi annetuste,0.0011587485515643,0.0014749262536873,-27.286135693215158
kandideerima ametikohale kandidaatide,0.0011587485515643,0.0014749262536873,-27.286135693215158
kinnisasja maad maa,0.004055619930475,0.0044247787610619,-9.10240202275719
noukogudesse ariuhingute noukogudes,0.004055619930475,0.0044247787610619,-9.10240202275719
vagivallale vihakone ohutamine,0.004055619930475,0.0044247787610619,-9.10240202275719
leping ratifitseerida lepinguga,0.0086906141367323,0.0088495575221238,-1.8289085545715316
direktiivi direktiiv ulevotmise,0.0028968713789107,0.0029498525073746,-1.828908554573869
pensioniiga pensioniea eluiga,0.0028968713789107,0.0029498525073746,-1.828908554573869
eelarvele kulude riigieelarvele,0.007531865585168,0.0073746312684365,2.087587928296695
majandusaasta koondaruanne raamatupidamise,0.0046349942062572,0.0044247787610619,4.535398230088631
maksuamet tolliamet tolliameti,0.0063731170336037,0.0058997050147492,7.428264950389707
kodualuse maamaksu maamaksust,0.0365005793742757,0.0353982300884955,3.0200870908835404
pealinnast tallinnast viljandisse,0.0017381228273464,0.0014749262536873,15.142576204520797
korruptsiooni korruptsioon korruptsiooniga,0.0017381228273464,0.0014749262536873,15.142576204520797
utah jordaania energia,0.0017381228273464,0.0014749262536873,15.142576204520797
oiglase virumaale ulemineku,0.0017381228273464,0.0014749262536873,15.142576204520797
arengukavad arengukavade pohialuste,0.0081112398609501,0.0073746312684365,9.08133164770347
tooandja tervisesse maksuvabalt,0.0034762456546929,0.0029498525073746,15.142576204523234
salvestisi salvestised salvestiste,0.0034762456546929,0.0029498525073746,15.142576204523234
abielu kooselu samasooliste,0.0034762456546929,0.0029498525073746,15.142576204523234
ootuse oigusparase oiguskindluse,0.0034762456546929,0.0029498525073746,15.142576204523234
opositsioonis koalitsiooni opositsiooni,0.0069524913093858,0.0058997050147492,15.142576204523234
kaasne lisakulutusi riigieelarvele,0.0104287369640787,0.0088495575221238,15.142576204523234
haale valimispaeval valimiste,0.004055619930475,0.0029498525073746,27.265065318161874
tooandja tooandjal tootaja,0.004055619930475,0.0029498525073746,27.265065318161874
maantee neljarealiseks ppp,0.0023174971031286,0.0014749262536873,36.35693215339242
kutsehariduse kutseharidus kutsehariduses,0.0023174971031286,0.0014749262536873,36.35693215339242
hiv narkomaania epideemia,0.0023174971031286,0.0014749262536873,36.35693215339242
soita jalakaija konniteel,0.0023174971031286,0.0014749262536873,36.35693215339242
muuseum muuseumi muuseumide,0.0023174971031286,0.0014749262536873,36.35693215339242
inimarengu aruanne aruandes,0.0023174971031286,0.0014749262536873,36.35693215339242
borsile ipo enefit,0.0057937427578215,0.0044247787610619,23.62831858407091
huvigruppe huvigruppide kaasatud,0.0127462340672074,0.0103244837758112,18.999731831590204
iive sundimus iibe,0.0063731170336037,0.0044247787610619,30.57119871279228
kaitseliit kaitseliidule kaitseliidu,0.0081112398609501,0.0058997050147492,27.265065318162772
lipu laevu kaubalaeva,0.0046349942062572,0.0029498525073746,36.35693215339242
eelarves riigieelarves reservist,0.0168018539976825,0.0132743362831858,20.99481232834933
kala kalurid kalurite,0.0028968713789107,0.0014749262536873,49.085545722713064
otsevalimise presidenti presidendi,0.0028968713789107,0.0014749262536873,49.085545722713064
hambaravi hammaste hambad,0.0028968713789107,0.0014749262536873,49.085545722713064
kohtla jarve johvi,0.0028968713789107,0.0014749262536873,49.085545722713064
palgatousu opetajate palgatous,0.0237543453070683,0.0191740412979351,19.28196273113153
efsf esm kreekale,0.0318655851680185,0.0265486725663716,16.6854384553501
vaesuses suhtelises vaesuse,0.0104287369640787,0.0073746312684365,29.285480170436028
vabatahtlike komandode paasteameti,0.0121668597914252,0.0088495575221238,27.265065318163074
jarviku jarvik maaeluministri,0.0052143684820393,0.0029498525073746,43.42838413634828
ulejaagis struktuurses struktuurse,0.0127462340672074,0.0088495575221238,30.57119871279228
tulubaasi omavalitsustele omavalitsuste,0.0127462340672074,0.0088495575221238,30.57119871279228
taanis saksamaal hollandis,0.0092699884125144,0.0058997050147492,36.35693215339242
toonadalal istungid taiendaval,0.0214368482039397,0.0162241887905604,24.31635174998025
tapsustatakse ajakohastatakse nouete,0.0034762456546929,0.0014749262536873,57.57128810226162
inflatsiooni inflatsioon hinnatous,0.0034762456546929,0.0014749262536873,57.57128810226162
rahvuse rahvust rahvusriik,0.0034762456546929,0.0014749262536873,57.57128810226162
krimmi agressiooni ukraina,0.0057937427578215,0.0029498525073746,49.08554572271394
keeleoskust oskuse keeleoskuse,0.004055619930475,0.0014749262536873,63.63253265908093
uuring uuringut uuringu,0.0046349942062572,0.0014749262536873,68.17846607669621
aardla pria pealtnagija,0.0069524913093858,0.0029498525073746,57.57128810226162
karistuse karistus tingimisi,0.0133256083429895,0.0073746312684365,44.65820187251536
joustumine joustuma joustada,0.0133256083429895,0.0073746312684365,44.65820187251536
tulumaksuvaba maksususteemi tulumaksu,0.0052143684820393,0.0014749262536873,71.71419206817414
elamisluba elamisloa viisa,0.0052143684820393,0.0014749262536873,71.71419206817414
tulubaasi tasandusfondi tulumaksuosa,0.0196987253765932,0.0117994100294985,40.100642026722085
terviseandmed isikuandmeid terviseandmeid,0.0196987253765932,0.0117994100294985,40.100642026722085
vallaga vald sauga,0.0063731170336037,0.0014749262536873,76.85706623759742
pensionitous pensionitousu pension,0.0063731170336037,0.0014749262536873,76.85706623759742
riigikontrolli auditi auditit,0.007531865585168,0.0014749262536873,80.41751758565934
volakirjade keskpank volakirju,0.0081112398609501,0.0014749262536873,81.8162663295407
prokuratuur prokuratuuri prokuror,0.0127462340672074,0.0044247787610619,65.28559935639613
lng terminali gaasi,0.0086906141367323,0.0014749262536873,83.02851524090474
koolis kooli opilased,0.0283893395133256,0.0132743362831858,53.24182770453327
elektri elektrit taastuvenergia,0.0243337195828505,0.0103244837758112,57.571288102261555
kohtunike kohtususteem kohtuniku,0.0139049826187717,0.0029498525073746,78.78564405113096
kaibemaksu kaibemaks kaibemaksumaara,0.015063731170336,0.0029498525073746,80.41751758565934
tootuid tootute tootu,0.0173812282734646,0.0029498525073746,83.02851524090474
eriarstide eriarstiabi eriarsti,0.0231749710312862,0.0058997050147492,74.5427728613572
alkoholi kange lahja,0.0289687137891077,0.0014749262536873,94.90855457227143
missiooni missioonile missioon,0.0359212050984936,0.0073746312684365,79.46997811399771
vee monopolide veeteenuse,0.0063731170336037,0.0,100.0
abipolitseinik abipolitseiniku abipolitseinike,0.004055619930475,0.0,100.0
nord stream streami,0.004055619930475,0.0,100.0
ajakirjandus ajakirjanduse ajakirjandust,0.004055619930475,0.0,100.0
liiklussurmade liikluses hukkunute,0.0034762456546929,0.0,100.0
deklaratsiooni deklaratsioone deklaratsioonis,0.0034762456546929,0.0,100.0
pensioni pension sammas,0.0023174971031286,0.0,100.0
pensionifondide pensionifondid fondid,0.0023174971031286,0.0,100.0
jaatmeid liigiti prugi,0.0023174971031286,0.0,100.0
salastatud valisteabe riigisaladuse,0.0023174971031286,0.0,100.0
omandireformi tagastatud omandireform,0.0023174971031286,0.0,100.0
treenerite spordi sport,0.0023174971031286,0.0,100.0
teede teehoiuks teedele,0.0017381228273464,0.0,100.0
ene ergma aplaus,0.0017381228273464,0.0,100.0
riigipalgaliste riigisektoris koondada,0.0017381228273464,0.0,100.0
teekasutustasu autode autod,0.0017381228273464,0.0,100.0
reklaami reklaam alkoholireklaam,0.0017381228273464,0.0,100.0
ts parvlaeva parvlaevad,0.0017381228273464,0.0,100.0
