topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,difference
lapsetoetust lapsetoetus lapsetoetuse,0.0186480186480186,0.077037037037037,-313.111111111112
uliopilased uliopilastele uliopilaste,0.0069930069930069,0.037037037037037,-429.62962962963604
karistuse karistus tingimisi,0.0023310023310023,0.0251851851851851,-980.444444444455
tootuid tootute tootu,0.0046620046620046,0.0251851851851851,-440.22222222222746
katteallikas katteallikaid katteallikat,0.0069930069930069,0.0281481481481481,-302.5185185185232
ametiuhingute tooandjate keskliit,0.0023310023310023,0.0222222222222222,-853.3333333333449
ulejaagis struktuurses struktuurse,0.0046620046620046,0.0222222222222222,-376.6666666666724
aituma infotundi jahimehed,0.0046620046620046,0.0222222222222222,-376.6666666666724
eelarves riigieelarves reservist,0.0139860139860139,0.0355555555555555,-154.2222222222234
aasia aasias saatkonna,0.0093240093240093,0.0281481481481481,-201.88888888888914
vanemahuvitist vanemahuvitise vanemahuvitis,0.0023310023310023,0.0118518518518518,-408.4444444444489
huvigruppe huvigruppide kaasatud,0.0116550116550116,0.0251851851851851,-116.08888888888916
maksuamet tolliamet tolliameti,0.0069930069930069,0.0148148148148148,-111.85185185185445
kodualuse maamaksu maamaksust,0.0163170163170163,0.0266666666666666,-63.4285714285712
poolte kokkuleppel huvitise,0.0023310023310023,0.0074074074074074,-217.77777777778167
salvestisi salvestised salvestiste,0.0023310023310023,0.0074074074074074,-217.77777777778167
majandusaasta koondaruanne raamatupidamise,0.0046620046620046,0.0103703703703703,-122.44444444444589
moisteid moiste moisted,0.0023310023310023,0.0059259259259259,-154.22222222222445
terviseandmed isikuandmeid terviseandmeid,0.0046620046620046,0.0088888888888888,-90.66666666666728
arengufond arengufondi arengufondis,0.0046620046620046,0.0088888888888888,-90.66666666666728
riigikontrolli auditi auditit,0.0023310023310023,0.0044444444444444,-90.66666666666728
teenistuse teenistuses avalikus,0.0023310023310023,0.0044444444444444,-90.66666666666728
keskkonnaameti uhendamine uhendamise,0.0023310023310023,0.0044444444444444,-90.66666666666728
riigiabi komisjonilt loa,0.0023310023310023,0.0044444444444444,-90.66666666666728
samba sammas sambasse,0.0023310023310023,0.0044444444444444,-90.66666666666728
korterelamute kortermajade kredexi,0.0023310023310023,0.0044444444444444,-90.66666666666728
tooandja tervisesse maksuvabalt,0.0046620046620046,0.0074074074074074,-58.888888888890826
