topic_words3,Fraktsioonitud,Isamaa ja Res Publica Liidu fraktsioon,Keskerakond,Reformierakond,Sotsiaaldemokraadid
aardla pria pealtnagija,0.0,0.0,0.006952491309385863,0.0,0.0029498525073746312
aasia aasias saatkonna,0.009324009324009324,0.028148148148148148,0.0034762456546929316,0.01564537157757497,0.01327433628318584
abielu kooselu samasooliste,0.0,0.0014814814814814814,0.0034762456546929316,0.003911342894393742,0.0029498525073746312
abipolitseinik abipolitseiniku abipolitseinike,0.0,0.0,0.004055619930475087,0.014341590612777053,0.0
aituma infotundi jahimehed,0.004662004662004662,0.022222222222222223,0.0,0.003911342894393742,0.0029498525073746312
ajakirjandus ajakirjanduse ajakirjandust,0.004662004662004662,0.0014814814814814814,0.004055619930475087,0.001303780964797914,0.0
alkoholi kange lahja,0.009324009324009324,0.01037037037037037,0.028968713789107765,0.01694915254237288,0.0014749262536873156
ametipalkade riigiteenijate korgemate,0.0,0.0,0.0011587485515643105,0.002607561929595828,0.0014749262536873156
ametiuhingute tooandjate keskliit,0.002331002331002331,0.022222222222222223,0.007531865585168019,0.01694915254237288,0.01032448377581121
ammendumiseni kaheni pikendada,0.0,0.0,0.0005793742757821553,0.001303780964797914,0.0
annetus erjk annetuse,0.002331002331002331,0.0,0.0011587485515643105,0.001303780964797914,0.0
annetused annetusi annetuste,0.009324009324009324,0.0044444444444444444,0.0011587485515643105,0.002607561929595828,0.0014749262536873156
apteeke apteegid apteekide,0.004662004662004662,0.007407407407407408,0.004634994206257242,0.01694915254237288,0.008849557522123894
arengufond arengufondi arengufondis,0.004662004662004662,0.008888888888888889,0.0017381228273464658,0.011734028683181226,0.008849557522123894
arengukavad arengukavade pohialuste,0.011655011655011656,0.01037037037037037,0.008111239860950173,0.00651890482398957,0.007374631268436578
borsile ipo enefit,0.013986013986013986,0.0014814814814814814,0.005793742757821553,0.005215123859191656,0.004424778761061947
danske filiaali rahapesu,0.0,0.0,0.0,0.001303780964797914,0.0
deklaratsiooni deklaratsioone deklaratsioonis,0.006993006993006993,0.0014814814814814814,0.0034762456546929316,0.014341590612777053,0.0
direktiivi direktiiv ulevotmise,0.004662004662004662,0.0014814814814814814,0.0028968713789107765,0.00651890482398957,0.0029498525073746312
domeenide domeeni interneti,0.011655011655011656,0.0014814814814814814,0.0011587485515643105,0.0,0.0
eelarvele kulude riigieelarvele,0.006993006993006993,0.008888888888888889,0.007531865585168019,0.01303780964797914,0.007374631268436578
eelarves riigieelarves reservist,0.013986013986013986,0.035555555555555556,0.016801853997682505,0.007822685788787484,0.01327433628318584
efsf esm kreekale,0.08624708624708624,0.09185185185185185,0.03186558516801854,0.0469361147327249,0.02654867256637168
elamisluba elamisloa viisa,0.006993006993006993,0.0014814814814814814,0.005214368482039398,0.007822685788787484,0.0014749262536873156
elatisraha elatisabi elatise,0.0,0.0044444444444444444,0.0017381228273464658,0.001303780964797914,0.004424778761061947
elektri elektrit taastuvenergia,0.05827505827505827,0.011851851851851851,0.02433371958285052,0.024771838331160364,0.01032448377581121
ene ergma aplaus,0.004662004662004662,0.0014814814814814814,0.0017381228273464658,0.0,0.0
energiaagentuur agentuuri agentuur,0.0,0.0,0.0,0.002607561929595828,0.0014749262536873156
